afvoercoefficient,bergingsvolume_t10,bergingsvolume_t100,time,berging_uur_1,extra_berging_uur_1,tijd_uur_1,berging_uur_2,extra_berging_uur_2,tijd_uur_2
0.3,5.1,1.9,1,3.4,1.6,0.125,4.2,1.8,0.333
0.5,4.9,1.7,1,3.4,1.6,0.125,4.1,1.7,0.333
0.8,4.7,1.4,1,3.4,1.6,0.125,4.0,1.6,0.333
1.2,4.3,1.1,1,3.3,1.6,0.125,3.9,1.5,0.333
1.5,4.1,1.0,0.883,3.3,1.5,0.125,3.8,1.4,0.333
1.8,3.9,1.0,0.667,3.3,1.5,0.125,3.7,1.4,0.333
2.3,3.6,1.1,0.417,3.2,1.4,0.125,3.5,1.4,0.2083
3,3.4,1.0,0.333,3.2,1.4,0.125,3.3,1.2,0.2083
4,3.2,1.0,0.208,3.0,1.2,0.125,3.1,1.2,0.1667
5,3.0,1.0,0.167,2.8,1.2,0.0833,2.9,1.1,0.125
